n,n_A,n_B,T,E,T+E
933152,839836.8,93315.20000000001,0.0005647385101422853,0.0003015440550585946,0.0008662825652008799
946930,852237.0,94693.0,0.0005606149325757436,0.00029934225674232545,0.000859957189318069
960709,864638.1,96070.90000000001,0.000556580093945385,0.0002971878408839155,0.0008537679348293004
974487,877038.3,97448.70000000001,0.0005526314215793562,0.0002950794337964474,0.0008477108553758036
988265,889438.5,98826.5,0.0005487656159828857,0.0002930152737034263,0.0008417808896863119
1002044,901839.6,100204.40000000001,0.0005449795467892131,0.0002909936891348357,0.0008359732359240488
1015822,914239.8,101582.20000000001,0.0005412710411096304,0.0002890135198693336,0.000830284560978964
1029601,926640.9,102960.1,0.000537636965886096,0.0002870730929998849,0.0008247100588859809
1043379,939041.1,104337.90000000001,0.0005340753744324402,0.00028517136908676476,0.000819246743519205
1057157,951441.3,105715.70000000001,0.0005305836395426768,0.0002833069453243697,0.0008138905848670466
1070936,963842.4,107093.6,0.0005271592609598268,0.0002814784866919521,0.0008086377476517789
1084714,976242.6,108471.40000000001,0.0005238005819985667,0.0002796851085967285,0.0008034856905952952
1098493,988643.7000000001,109849.3,0.000520505056039659,0.00027792545126266514,0.0007984305073023242
1112271,1001043.9,111227.1,0.0005172711920925371,0.0002761987185702599,0.000793469910662797
1126049,1013444.1,112604.90000000001,0.0005140968640948042,0.0002745037753012392,0.0007886006393960435
1139828,1025845.2000000001,113982.8,0.0005109800432592259,0.0002728395381777347,0.0007838195814369607
1153606,1038245.4,115360.6,0.0005079194529117913,0.00027120532551530075,0.0007791247784270921
1167385,1050646.5,116738.5,0.0005049129911859515,0.0002696000150151194,0.0007745130062010709
1181163,1063046.7,118116.3,0.0005019595049005214,0.00026802299093216085,0.0007699824958326822
1194941,1075446.9000000001,119494.1,0.0004990572487771289,0.0002664733213690812,0.0007655305701462101
1208720,1087848.0,120872.0,0.0004962045534431477,0.0002649501149586689,0.0007611546684018166
1222498,1100248.2,122249.8,0.0004934004266860266,0.0002634528419056456,0.0007568532685916722
1236277,1112649.3,123627.70000000001,0.0004906431100648457,0.00026198056328448,0.0007526236733493257
1250055,1125049.5,125005.5,0.00048793170480822414,0.0002605327991931259,0.0007484645040013501
1263833,1137449.7,126383.3,0.00048526475990313153,0.00025910877485822286,0.0007443735347613543
1277612,1149850.8,127761.20000000001,0.00048264088453206717,0.00025770774764801937,0.0007403486321800865
1291390,1162251.0,129139.0,0.0004800593025481469,0.00025632930313623743,0.0007363886056843843
1305169,1174652.1,130516.90000000001,0.00047751852496961543,0.0002549726462759867,0.0007324911712456022
1318947,1187052.3,131894.7,0.0004750178472957888,0.0002536374008967222,0.000728655248192511
1332725,1199452.5,133272.5,0.0004725560493681178,0.0002523229154906221,0.0007248789648587399
1346504,1211853.6,134650.4,0.00047013195945931646,0.0002510285644099026,0.000721160523869219
1360282,1224253.8,136028.2,0.00046774496765335504,0.00024975402198781796,0.000717498989641173
1374059,1236653.1,137405.9,0.0004653941381384829,0.0002484987885444897,0.0007138929266829726
1374060,1236654.0,137406.0,0.0004653939687884462,0.0002484986981194596,0.0007138926669079058
1374061,1236654.9000000001,137406.1,0.00046539379943859446,0.00024849860769452815,0.0007138924071331226
